LATITUD_DEL_ESTADO,LONGITUD_DEL_ESTADO,PODER_EJECUTIVO_ENTIDAD,PODER_EJECUTIVO_GOBERNADOR,PODER_EJECUTIVO_PARTIDO,URL_ESTADO,PODER_EJECUTIVO_PERIODO,PODER_EJECUTIVO_ORGANISMOS_ESTATALES_DE_CIENCIA_Y__TECNOLOGÍA,TIPO_ORGANISMO,PODER_EJECUTIVO_TITULAR_DEL_ORGANISMO,PODER_EJECUTIVO_PROGRAMA_ESTATAL_DE_CIENCIA_,"PODER_EJECUTIVO_GASTO_EN_CIENCIA,TECNOLOGÍA_E_INNOVACIÓN",PODER_LEGISLATIVO_COMISIONES_CIENCIA_Y_TECNOLOGÍA,"PODER_LEGISLATIVO_COMISIONES_CIENCIA,_TECNOLOGÍA_E_INNOVACIÓN","PODER_LEGISLATIVO_COMISIONES_EUDCACIÓN,_CULTURA,_CIENCIA_Y_TECNOLOGÍA",PODER_LEGISLATIVO_COMISIONES_S/C,PODER_LEGISLATIVO_PRESIDENTE_COMISION,PODER_LEGISLATIVO_PERIODO_LEGISLATIVO_INICIA,PODER_LEGISLATIVO_PERIODO_LEGISLATIVO_TERMINA,Ley_Egresos,Ley_de_CTI,Presupuesto,Innovacion,Acceso_Abierto,Vinculacion,genero_CTI
21.8853,-102.2916,Aguascalientes,Mtra. María Teresa Jiménez Esquivel,PAN,https://aguascalientes.gob.mx/Index.html,2022-2027,Instituto de Ciencia y Tecnología del Estado de Aguascalientes (INCYTEA),Instituto,M.C Ana Claudia Morales Dueñas,SI,0.83%,●,,,,Gladys Adriana Ramírez Aguilar (Secretaría).,15-sep-21,14-sep-24,https://congresoags.gob.mx/agenda_legislativa/descargar_pdf/5339,Sí,Sí,Sí,Sí,Sí,No
30.8406,-115.2838,Baja California,Mtra. Marina del Pilar Ávila Olmeda ,MORENA,https://bajacalifornia.gob.mx/,2021-2027,Consejo Estatal  de Ciencia e Innovación Tecnológica de Baja California (COCITBC),Consejo,Dr. Abraham Orozco Lazcano,SI,0.13%,,,●,,Dunnia Montserrat Murillo López,01-ago-21,31-jul-24,https://wsextbc.ebajacalifornia.gob.mx/CdnBc/api/Imagenes/ObtenerImagenDeSistema?sistemaSolicitante=PeriodicoOficial/2023/Diciembre&nombreArchivo=Periodico-72-CXXX-20231222-SECCI%C3%93N%20II.pdf&descargar=false,Sí,Sí,Sí,Sí,Sí,Sí
24.1426,-110.3128,Baja California Sur,Mtro. Víctor Manuel Castro Cosío,MORENA,https://www.bcs.gob.mx/,2021-2027,Consejo Sudcaliforniano de Ciencia y Tecnología (COSCYT),Consejo,Dra. Sara Cecilia Díaz Castro,SI,0.01%,●,,,,Armando Martínez Vega,01-sep-21,31-ago-24,https://www.cbcs.gob.mx/PAQUETE-ECONOMICO/2024/proyecto_presupuesto_egresos_2024.pdf,Sí,Sí,Sí,Sí,Sí,Sí
19.8301,-90.5349,Campeche,Mtra. Layda Elena Sansores San Román,MORENA,https://campeche.gob.mx/,2021-2027,Consejo  Estatal de Investigación Científica y Desarrollo Tecnológico (COESICYDET),Consejo,L.A.E. Rafael Eduardo Alcalá Ortiz,SI,0.03%,●,,,,Jesus Roberto Reyes Jiménez,01-oct-21,30-sep-24,http://www.periodicooficial.campeche.gob.mx/sipoec/public/presupuestos#myModal,Sí,Sí,Sí,Sí,Sí,No
16.7569,-93.1292,Chiapas,Dr. Rutilio Cruz Escandón Cadenas,MORENA,https://www.chiapas.gob.mx/,2018-2024,"Instituto de Ciencia, Tecnología e Innovación del Estado de Chiapas (ICTIECH)",Instituto,Mtro. Helmer Ferras Cautiño,SI,0.04%,,,,,Sergio David Molina Gómez,01-oct-21,30-sep-24,https://www.congresochiapas.gob.mx/new/Info-Parlamentaria/LEY_0115.pdf?v=MTk=,Sí,Sí,Sí,Sí,Sí,Sí
28.632,-106.0691,Chihuahua,Mtra. María Eugenia Campos Galván,PAN,https://chihuahua.gob.mx/,2021-2027,Instituto de Innovación y Competitividad (I2C),Instituto,Mtro. Raúl Varela Tena,SI,1.07%,●,,,,María Antonieta Pérez Reyes (Presidenta),01-sep-21,31-ago-24,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2023-12/ANEXO%20102-2023%20PE%20CHIHUAHUA-2024.pdf,Sí,Sí,Sí,Sí,Sí,No
19.4326,-99.1332,Ciudad de Mexico,Lic. Martí Batres Guadarrama,MORENA,https://www.col.gob.mx/,2023-2024,"Secretaría de Educación, Ciencia, Tecnología e Innovación (SECTEI)",Secretaría,Dra. Ofelia Angulo Guerrero,SI,0.30%,●,,,,Christian Moctezuma González,01-sep-21,31-ago-24,https://www.congresocdmx.gob.mx/media/documentos/7d14510e8dd791413de1ca13c91664fef9c577fd.pdf,Sí,Sí,Sí,Sí,Sí,Sí
25.4232,-101,Coahuila,Mtro. Manolo Jímenez Salinas ,PRI,https://gobierno.cdmx.gob.mx/,2023-2029,Consejo Estatal de Ciencia y Tecnología del Estado de Coahuila (COECYT),Consejo,Dr. Mario Prudencio Valdés Garza,SI,0.02%,●,,,,Mayra Lucila Valdés González (Coordinadora),01-ene-24,31-dic-26,https://www.congresocoahuila.gob.mx/transparencia/03/Leyes_Coahuila/pre_ejercicio_fiscal_2024.pdf,Sí,Sí,Sí,Sí,Sí,Sí
19.2433,-103.725,Colima,Mtra. Indira Vizcaíno Silva,MORENA,https://coahuila.gob.mx/,2021-2027,Consejo Estatal de Ciencia y Tecnología de Colima (CECYTCOL),Consejo,Mtro. Carlos Francisco  Rocha Cuevas,SI,0.03%,,●,,,Myriam Gudiño Espíndola (Presidenta),01-oct-21,31-sep-24,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_65417a8fc3381_01_ProyPresuEgresos_EF2024.pdf,Sí,Sí,Sí,No,Sí,No
24.0277,-104.6532,Durango,M.C. Esteban Alejandro Villegas Villareal,PRI,https://www.durango.gob.mx/,2022-2028,Consejo de Ciencia y Tecnología del Estado de Durango (COCYTED),Consejo,Dr. José Betancourt Hernández,,0.15%,,●,,,Joel Corral Alcantar (Presidente),01-sep-21,31-ago-24,https://congresodurango.gob.mx/Archivos/LXIX/LEYESINGRESOS/2024/ANEXOS-LEY-EGRESOS.pdf,Sí,Sí,Sí,Sí,Sí,No
